كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0021,توقيت كامة (B) متأخر جداً,بلف VVT / ترس كامة,"4,000 - 9,000",2,"1,500 - 3,000",نايل موتورز,,,,,,
U0140,فقد الاتصال مع الـ BCM,فحص فيش الكنترول الرئيسي,---,3,"2,000 - 5,000",نايل موتورز,,,,,,
P2101,مدى موتور خانق الهواء,بوابة كهرباء,"6,500 - 14,000",1,"800 - 1,500",نايل موتورز,,,,,,
P3000,عطل نظام إدارة البطارية,فحص خلايا الهايبرد,---,3,"3,000 - 6,000",نايل موتورز,,,,,,
P0300,حريق عشوائي (Misfire),بوجيهات / موبينات,"2,500 - 6,000",1,"600 - 1,200",نايل موتورز,,,,,,
U0121,فقد الاتصال بـ ABS,فحص ضفيرة وبرمجة,---,2,"1,500 - 3,500",نايل موتورز,,,,,,
P0455,تسريب كبير في البخار,خرطوم تانك / كانستر,"1,000 - 3,500",1.5,"800 - 1,500",نايل موتورز,,,,,,
C1241,انخفاض جهد ABS,شحن دينامو / بطارية,---,1,"500 - 1,000",نايل موتورز,,,,,,
P0443,عطل صمام تطهير,بلف تبخير بنزين,"1,800 - 4,200",1,"700 - 1,200",نايل موتورز,,,,,,
P2122,دخل منخفض حساس الدعسة,حساس بدال البنزين,"5,000 - 12,000",1,"800 - 1,500",نايل موتورز,,,,,,
P0351,عطل ملف الإشعال A,موبينة اسطوانة 1,"2,000 - 4,500",0.5,400 - 700,نايل موتورز,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس,---,6.0+,"6,000+",نايل موتورز,,,,,,
C1223,عطل عام في ABS,فحص كنترول ABS,---,1,"1,000 - 2,500",نايل موتورز,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,800 - 4,200",0.5,400 - 800,نايل موتورز,,,,,,
P0744,إشارة متقطعة TCC,ضفيرة فتيس / بلف,"4,500 - 9,500",2,"1,500 - 3,000",نايل موتورز,,,,,,
C1252,عطل موتور مضخة الفرامل,طلمبة ABS,"20,000 - 50,000",3,"4,000 - 8,000",نايل موتورز,,,,,,
P0342,دخل منخفض حساس كامة,حساس كامة,"2,200 - 5,000",1,"800 - 1,500",نايل موتورز,,,,,,
P0710,عطل حساس حرارة الزيت,حساس ATF Temp,"3,500 - 8,000",2,"1,500 - 3,000",نايل موتورز,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"4,500 - 8,500",1,"800 - 1,500",نايل موتورز,,,,,,
P0442,تسريب بسيط في البخار,فحص خراطيم صلبة,---,1.5,"1,000 - 2,000",نايل موتورز,,,,,,
P2187,خليط فقير عند الخمول,بلف تبخير / بوابة,"2,800 - 6,500",1,"1,000 - 1,800",نايل موتورز,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين أمامي,"4,200 - 8,500",1,"800 - 1,500",نايل موتورز,,,,,,
P0501,مدى حساس السرعة,حساس VSS,"1,500 - 3,500",1,"700 - 1,300",نايل موتورز,,,,,,
B1877,عطل شداد حزام الأمان,شداد حزام,"3,500 - 7,500",1.5,"1,000 - 2,000",نايل موتورز,,,,,,
P0304,ميس فاير اسطوانة 4,بوجيه / موبينة,"1,800 - 4,200",0.5,400 - 800,نايل موتورز,,,,,,
P0705,عطل مدى سلكتور الفتيس,سلكتور فتيس,"4,500 - 10,000",1.5,"1,200 - 2,200",نايل موتورز,,,,,,
P0030,دائرة سخان شكمان 1,حساس أوكسجين,"4,200 - 8,000",1,"800 - 1,500",نايل موتورز,,,,,,
P0422,كفاءة المحفز الرئيسي,علبة بيئة,"18,000 - 45,000",2,"2,500 - 4,500",نايل موتورز,,,,,,
P2100,فتح دائرة موتور البوابة,بوابة كاملة,"8,000 - 18,000",1,"1,000 - 2,000",نايل موتورز,,,,,,
P0422,ضعف كفاءة علبة البيئة (جرانتا),علبة بيئة / حساس شكمان,"8,000 - 14,000",1.5,"600 - 1,000",نايل موتورز,,,,,,
P0507,علو صوت المحرك عند الوقوف,حساس أيدل (Idle),"800 - 1,500",0.5,200 - 400,نايل موتورز,,,,,,
Mechanical,صوت طقطقة مع الملفات,كوبلن خارجي (يمين/يسار),"1,800 - 3,200",1.5,500 - 800,نايل موتورز,,,,,,
P0171,هواء زائد (تسريب خلخلة),خراطيم المنفاخ / جوان,200 - 600,1,300 - 600,نايل موتورز,,,,,,
P0351,المحرك يعمل على 3 بستم,موبينة إشعال (Coil),"1,800 - 4,500",0.5,150 - 300,نايل موتورز,,,,,,
Mechanical,رعشة مع الفرامل (غسيل),طنابير أمامية (Disks),"3,200 - 7,500",1,400 - 700,نايل موتورز,,,,,,
Mechanical,نقص مياه مستمر (خفي),غطاء قربة / رادياتير,350 - 850,0.1,100 - 200,نايل موتورز,,,,,,
Electrical,تكتكة عند الدوارة (لا تدور),بطارية (Battery),"4,500 - 9,500",0.3,200 - 400,نايل موتورز,,,,,,
Mechanical,خبط (دب) في الطرق غير الممهدة,مساعدين أمامية,"5,000 - 12,000",2.5,"1,200 - 2,000",نايل موتورز,,,,,,
Electrical,لمبة البطارية منورة,دينامو (Alternator),"4,500 - 11,000",1.5,"700 - 1,300",نايل موتورز,,,,,,
B1049,لمبة الإيرباج (صوت بالدركسيون),شريط إيرباج (Spiral),"1,800 - 4,500",1,"500 - 1,000",نايل موتورز,,,,,,
Mechanical,ثقل في الحركة (الفتيس بيفوت),طقم دبرياج (لليدوي),"5,500 - 14,000",4,"3,000 - 5,000",نايل موتورز,,,,,,
P0130,"استهلاك وقود ""بشع""",حساس شكمان (O2),"3,800 - 7,500",0.5,300 - 600,نايل موتورز,,,,,,
Electrical,تعليق السنتر لوك,موتور كالون الباب,"600 - 1,800",1.5,"500 - 1,000",نايل موتورز,,,,,,
P0121,نتشة مع ضغطة البنزين,حساس بوابة (TPS),"1,500 - 4,000",0.5,300 - 600,نايل موتورز,,,,,,
P0441,هواء زائد في التانك,صمام تصريف EVAP,"1,800 - 3,500",0.5,300 - 600,نايل موتورز,,,,,,
P0340,صعوبة دوارة وتفتفة,حساس كامة (Camshaft),"2,000 - 4,800",0.5,300 - 600,نايل موتورز,,,,,,
Mechanical,انسداد بلف التبخير,بلف PCV,"600 - 1,800",0.5,200 - 500,نايل موتورز,,,,,,
Mechanical,تسريب زيت فتيس,جوان كارتيرة الفتيس,"800 - 1,800",1.5,"800 - 1,500",نايل موتورز,,,,,,
Mechanical,"صوت ""تكتكة"" مع الدوارة صباحاً",تاكيهات / طقم صباب,"4,000 - 12,000",5,"3,000 - 6,000",نايل موتورز,,,,,,
Mechanical,ثقل في الدركسيون (باور),زيت باور / طلمبة,"1,500 - 6,000",1.5,"800 - 1,500",نايل موتورز,,,,,,
Electrical,لمبة الضباب لا تعمل,لمبات / كتاوت,200 - 600,0.5,200 - 400,نايل موتورز,,,,,,
Mechanical,دخان أبيض (نقص زيت),شنبر بيستم / جلد صباب,"12,000 - 35,000",10,"8,000 - 15,000",نايل موتورز,,,,,,
P0443,صوت تنفيس في التانك,بلف تبخير,"1,800 - 3,500",0.5,300 - 500,نايل موتورز,,,,,,
P0501,تقطيع في السرعة,حساس VSS (جير),"1,200 - 2,800",0.5,300 - 600,نايل موتورز,,,,,,
P0325,سحب ميت (كركرة),حساس خبط,"2,500 - 5,000",1.5,"800 - 1,500",نايل موتورز,,,,,,
Electrical,"الفوانيس الأمامية ""بهتانة""",تلميع فوانيس / لمبات,"500 - 2,500",1,400 - 800,نايل موتورز,,,,,,
Mechanical,"السيارة ""تقيلة"" في المشي","فرامل ""محملة"" (تعليق)",---,1.5,"800 - 1,500",نايل موتورز,,,,,,
Electrical,إنذار السيارة يعمل وحده,حساسات أبواب / بونيه,300 - 800,1,"500 - 1,000",نايل موتورز,,,,,,
Mechanical,حرارة تكييف غير منتظمة,فلتر تكييف مسدود,"500 - 1,500",0.5,200 - 500,نايل موتورز,,,,,,
Mechanical,زيت الفتيس أسود/محروق,تغيير زيت كامل,"4,000 - 9,000",1.5,"1,000 - 2,000",نايل موتورز,,,,,,
Electrical,إضاءة التابلوه تضعف,كتاوت دينامو,"1,500 - 3,500",1.5,"800 - 1,500",نايل موتورز,,,,,,
Mechanical,"البنزين ""بيفصل"" في الملفات",عوامة بنزين / فلتر,"1,200 - 3,200",1.5,"800 - 1,400",نايل موتورز,,,,,,
Mechanical,ثقل في دواسة البنزين,واير بنزين (للقديم),400 - 800,0.5,300 - 600,نايل موتورز,,,,,,
Mechanical,"""عضّة"" في الغيارات",زيت فتيس ناقص,---,1,"500 - 1,000",نايل موتورز,,,,,,
Electrical,شاشة العرض تهنج,إعادة سوفت وير,---,2,"1,500 - 3,000",نايل موتورز,,,,,,
Mechanical,صوت صفارة هواء,خرطوم فاكيوم مقطوع,100 - 400,0.5,300 - 600,نايل موتورز,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
